app,value,EG,number,description
Floor Exercise,A,1,1,From hdst. lower to L-sit or strad. L-sit (2 s.).
Floor Exercise,A,1,7,"From stand, Swiss press to hdst. (2 s.)."
Floor Exercise,A,1,13,Rock to hdst. from prone position (2 s.).
Floor Exercise,A,1,19,Handstand (2 s.).
Floor Exercise,B,1,2,V-sit (2 s.).
Floor Exercise,B,1,8,"Piked body, str. arm or str. body, bent arm press to hdst. with legs together (2 s.)."
Floor Exercise,B,1,14,"Swiss press from split, L-sit, strad. L-sit or front sup. (2 s.)."
Floor Exercise,B,1,20,Press or lower or swing to Japanese hdst. (2 s.).
Floor Exercise,C,1,3,V-sit with legs horiz. (2 s.).(Manna)
Floor Exercise,C,1,9,V-sit (2 s) and press to hdst. (2 s.
Floor Exercise,C,1,21,From split press to Japanese handstand (2 s.).
Floor Exercise,D,1,10,Manna (2 s.) and press to hdst. (2 s.)
Floor Exercise,D,1,16,"From Manna (2 s.), turn over (dislocation) to handstand (2 s.)."
Floor Exercise,A,1,25,"Support lever, legs straddle (2 s.)."
Floor Exercise,A,1,31,½  or  1/1  turn  in  handstand  or  to  handstand.
Floor Exercise,A,1,37,"From L-sit, etc., turn over bwd. to stand."
Floor Exercise,B,1,26,Support lever (2 s.).
Floor Exercise,B,1,32,From straddled support lever (2 s.) press hdst. (2 s.).
Floor Exercise,B,1,44,Endo roll to handstand (2 s.).
Floor Exercise,C,1,27,Swallow (2 s.).
Floor Exercise,C,1,33,From support lever 2 s. press handstand (2 s.).
Floor Exercise,C,1,45,Endo roll piked to handstand (2 s.). Also final phase with straddle.
Floor Exercise,D,1,34,From Swallow 2 s. press to Japanese hdst. (2 s.).(Alvariño)
Floor Exercise,D,1,46,- May straddle the legs without deduction to reach the handstand position in the final phase of the element.
Floor Exercise,A,1,49,"From  stand  or  rear  support,  push  off  1  foot through hdst. or back walkover."
Floor Exercise,A,1,55,Forward walkover.
Floor Exercise,A,1,61,Cross or side split (stop required).
Floor Exercise,A,1,67,Any standing scale (2 s.).
Floor Exercise,B,1,68,Any standing scale with 180hold (2 s.).
Floor Exercise,A,1,73,Jump bwd. to front support.
Floor Exercise,A,1,79,Butterfly.
Floor Exercise,A,1,85,Breakdance variations.
Floor Exercise,A,1,91,2 circles or flairs.
Floor Exercise,B,1,74,Jump bwd. with pike-stretch or with 1/1 turn to front support.
Floor Exercise,B,1,80,Butterfly with 1/1 twist fwd. or bwd.(Tong Fei)
Floor Exercise,B,1,92,Circles or flair to handstand.
Floor Exercise,C,1,81,Butterfly with 2/1 twist.
Floor Exercise,C,1,93,(Gogoladze) Flair or circle to hdst. continue to flair or circle.
Floor Exercise,D,1,94,Flair hopping with 360° t. bwd. thr. hdst and back to flair (2 hops).
Floor Exercise,A,1,103,Flair with ½ spindle.
Floor Exercise,A,1,115,Russian wendeswing with 360° or 540
Floor Exercise,B,1,98,Lower from hdst. to flair or circle.
